! ======================================================================
! list of species having a particular structure 
! ----------------------------------------------------------------------
!
! This file is read up to the keyword END. Comment line (! as first
! character) can be placed everywhere in the file.
!                                                                                                        
! The format of the line is fixed: the first 6 character is the code 
! for the species. The "formula" start at the position 10 and end at
! position 100. Additional information on the functional group on
! the carbon backbone are given at position 132 to 146.
!
! Special formula must start with a '#' at the first character.
!
! The code of the species is "free". 
! ======================================================================
XC       #lostcarbon                                                  
C2H2     #ethyne                                                                                                                                                               
C3H4     #propyne                                                                                                                                      
C4H601   #1-butyne                                                                                                                                                               
C4H602   #2-butyne                                                                                                                                                        
C50111   #CH3Cd(CH2(ONO2))=CdHCO(OO.)                                                                                              3.NUK             
C50112   #CHOCH.(OO.)                                                                                                              4.D               
C50113   #CH3C.(OO.)CH2(ONO2)                                                                                                      4.N               
C50114   #CH3C(OO.)(CH2(ONO2))CH(OH)CHO                                                                                            2.NDO             
C50115   #C1O-O-C1(CH3)CH2(OH)                                                                                                     IKO              
C50116   #C1H2-O-C1(CH3)CO(OH)                                                                                                     IA               
C50117   #CH3C(ONO2)(CHO)CHO                                                                                                       NDD               
C50118   #CH3C(ONO2)(CH2(OH))CO(OO.)                                                                                               3.NKO             
C50119   #CH3C(OH)(CHO)CHO                                                                                                         DDO               
C50120   #CH3C(OH)(CH3)CHO                                                                                                         DO                          
C50121   #CH3C(OH)(CH2(ONO2))CO(OO.)                                                                                               3.NKO             
C50122   #CH3COCH(OH)CHO                                                                                                           DKO               
C50123   #CH3COCOCH2(OH)                                                                                                           KKO               
C50124   #CH3COCH(ONO2)CHO                                                                                                         NDK               
C50125   #CHOCOCdH=CdH2                                                                                                            UDK               
C50126   #CH3Cd(CH2(OH))=CdHCHO                                                                                                    UDO               
C50127   #C1H2-O-C1HC(OH)(CH3)CH2(OH)                                                                                              IOO              
C50128   #CH2(OH)CH(OOH)C(OO.)(CH3)CHO                                                                                             2.HDO             
C50129   #CH2(OH)CdH=Cd(CH3)CHO                                                                                                    UDO               
C50130   #C1H2CH2-O-CH2C1HCH3                                                                                                      TE                          
C50131   #CH2(ONO2)CH.(OO.)                                                                                                        4.N               
C50132   #CH2(OH)C(CH3).(OO.)                                                                                                      4.O               
C50133   #CH2(OOH)CH(OOH)C(OOH)(CH3)CHO                                                                                            HHHD              
C50134   #CH2(OOH)CH(OOH)C(O.)(CH3)CHO                                                                                             1.HHD             
C50135   #CH3COCH(OOH)CH2(OOH)                                                                                                     HHK               
C50136   #CH3Cd(CO(OOH))=CdHCHO                                                                                                    GUD               
C50137   #CHOC(CH3).(OO.)                                                                                                          4.D               
C50138   #CH.(OO.)CH2(OOH)                                                                                                         4.E               
C50139   #CH3C(OOH)(CHO)CH(OH)CHO                                                                                                  HDDO              
C50140   #CH3COCdH=CdH(OH)                                                                                                         UKO               
C50141   #CH3C1(CH2(OH))-O-C1HCH2(OH)                                                                                              IOO              
C50142   #CH2(OH)C(CH3)(ONO2)CH.(OO.)                                                                                              4.NO              
C50143   #CH3C(ONO2)(CH2(OH))CH(OO.)CH2(OH)                                                                                        2.NOO             
C50144   #CH3C(ONO2)(CH2(OH))CH(OH)CH2(OO.)                                                                                        2.NOO             
C50145   #C1H2-O-C1(CH3)CH(OH)CH2(OH)                                                                                              IOO              
C50146   #CH3C(OOH)(CH2(OH))CH(OO.)CHO                                                                                             2.HDO             
C50147   #CH2(OH)CH.(OO.)                                                                                                          4.O               
C50148   #CH2(ONO2)C(CH3).(OO.)                                                                                                    4.N               
C50149   #CH2(OH)CH(OO.)C(OH)(CH3)CH2(ONO2)                                                                                        2.NOO             
C50150   #CH3C(OOH)(CH2(OOH))CH(OOH)CHO                                                                                            HHHD              
C50151   #CH3C(OOH)(CH2(OOH))CH(O.)CHO                                                                                             1.HHD             
C50152   #CH3C(OOH)(CH2(OOH))CHO                                                                                                   HHD               
C50153   #CO(OOH)CdH=Cd(CH3)CHO                                                                                                    GUD               
C50154   #CH3C.(OO.)CH2-O-OH                                                                                                       4.E               
C50155   #CH3C(OO.)(CH2(OOH))CH(OH)CHO                                                                                             2.HDO             
C50156   #CH3Cd(CHO)=CdH(OH)                                                                                                       UDO               
C50157   #CH2(OH)COCd(CH3)=CdH2                                                                                                    UKO               
C50158   #CH2(OH)CH(ONO2)C(CH3).(OO.)                                                                                              4.NO              
C50159   #CH3C(OO.)(CH2(OH))CH(ONO2)CH2(OH)                                                                                        2.NOO             
C50160   #CH3C(OO.)(CH2(OH))CH(OH)CHO                                                                                              2.DOO             
C50161   #CH3Cd(=CdH2)CH(OH)CO(OO.)                                                                                                3.UKO             
C50162   #CH3C(OOH)(CH2(OH))CH(OH)CH2(ONO2)                                                                                        HNOO              
C50163   #CH3C(ONO2)(CH2(OH))CH(OH)CH2(ONO2)                                                                                       NNOO              
C50164   #CH3C(O.)(CH2(OH))CH(OH)CH2(ONO2)                                                                                         1.NOO             
C50165   #CH3COCOCH2(ONO2)                                                                                                         NKK               
C50166   #CH2(ONO2)CH(OH)C(CH3).(OO.)                                                                                              4.NO              
C50167   #CH3COCH2CO(OOH)                                                                                                          GK                          
C50168   #CH3COCH2CO(OONO2)                                                                                                        KP                          
C50169   #CH3COCH(OOH)CHO                                                                                                          HDK               
C50170   #CH3COCH(O.)CHO                                                                                                           1.DK              
C50171   #CH3COCH2CO(OH)                                                                                                           AK                          
C50172   #CH3COCH2COCH2(OH)                                                                                                        KKO               
C50173   #CH2(OH)CH(OO.)Cd(CH2(OH))=CdH2                                                                                           2.UOO             
C50174   #CH3Cd(CHO)=CdHCO(OO.)                                                                                                    3.UDK             
C50175   #CHOCdH=Cd(CH3)CO(OO.)                                                                                                    3.UDK             
C50176   #CH3C(OO.)(CHO)CH(OH)CHO                                                                                                  2.DDO             
C50177   #C1O-O-CH2CdH=Cd1CH3                                                                                                      TUKE              
C50178   #CH3Cd(CH2(ONO2))=CdHCO(OH)                                                                                               ANU               
C50179   #CH3Cd(CH2(ONO2))=CdHCO(OOH)                                                                                              GNU               
C50180   #CH3Cd(CH2(ONO2))=CdHCO(OONO2)                                                                                            NUP               
C50181   #CHOCH.(OO.)                                                                                                              4.D               
C50182   #CH3C.(OO.)CH2(ONO2)                                                                                                      4.N               
C50183   #CH3C(OOH)(CH2(ONO2))CH(OH)CHO                                                                                            HNDO              
C50184   #CH3C(O.)(CH2(ONO2))CH(OH)CHO                                                                                             1.NDO             
C50185   #CH3C(ONO2)(CHO)CO(OO.)                                                                                                   3.NDK             
C50186   #CH3C(ONO2)(CH2(OH))CO(OH)                                                                                                ANO               
C50187   #CH3C(ONO2)(CH2(OH))CO(OOH)                                                                                               GNO               
C50188   #CH3C(ONO2)(CH2(OH))CO(OONO2)                                                                                             NPO               
C50189   #CH3C(OH)(CHO)CO(OO.)                                                                                                     3.DKO             
C50190   #CH3C(OH)(CH3)CO(OO.)                                                                                                     3.KO              
C50191   #CH3C(OH)(CH2(ONO2))CO(OH)                                                                                                ANO               
C50192   #CH3C(OH)(CH2(ONO2))CO(OH)                                                                                                ANO               
C50193   #CH3C(OH)(CH2(ONO2))CO(OONO2)                                                                                             NPO               
C50194   #CH3COCH(OH)CO(OO.)                                                                                                       3.KKO             
C50195   #CH3COCOCHO                                                                                                               DKK               
C50196   #CH3COCH(ONO2)CO(OO.)                                                                                                     3.NKK             
C50197   #CH3Cd(CH2(OH))=CdHCO(OO.)                                                                                                3.UKO             
C50198   #CH3C(OH)(CH2(OH))CH(OO.)CHO                                                                                              2.DOO             
C50199   #C1H2-O-C1HC(OH)(CH3)CHO                                                                                                  IDO              
C50200   #CH2(OH)CH(OOH)C(OOH)(CH3)CHO                                                                                             HHDO              
C50201   #CH2(OH)CH(OOH)C(ONO2)(CH3)CHO                                                                                            HNDO              
C50202   #CH2(OH)CH(OOH)C(O.)(CH3)CHO                                                                                              1.HDO             
C50203   #CH2(OH)CdH=Cd(CH3)CO(OO.)                                                                                                3.UKO             
C50204   #CH2(OH)CH(OO.)C(OH)(CH3)CHO                                                                                              2.DOO             
C50205   #CH2(OH)CH(OH)C(OO.)(CH3)CHO                                                                                              2.DOO             
C50206   #CHO-O-CdH=CdHC(CH3).(OO.)                                                                                                4.UDE             
C50207   #CH2(ONO2)CH.(OO.)                                                                                                        4.N               
C50208   #CH2(OH)C(CH3).(OO.)                                                                                                      4.O               
C50209   #CH3C(OOH)(CHO)CHO                                                                                                        HDD               
C50210   #CH3COCOCH2(OOH)                                                                                                          HKK               
C50211   #CH3C.(OO.)CO-O-OH                                                                                                        4.KE              
C50212   #CH3C(OO.)(CO(OOH))CH(OH)CHO                                                                                              2.GDO             
C50213   #CH3C(O.)(CHO)CH(OH)CHO                                                                                                   1.DDO             
C50214   #CH3C(OO.)(CH2(OH))COCH2(OH)                                                                                              2.KOO             
C50215   #CH2(OH)C1H-O-C1(CH3)CHO                                                                                                  IDO              
C50216   #CH3C1(CH2(OH))-O-C1HCHO                                                                                                  IDO              
C50217   #CH2(OH)C(CH3)(ONO2)CH.(OO.)                                                                                              4.NO              
C50218   #CH3C(ONO2)(CH2(OH))CH(OOH)CH2(OH)                                                                                        HNOO              
C50219   #CH3C(ONO2)(CH2(OH))CH(ONO2)CH2(OH)                                                                                       NNOO              
C50220   #CH3C(ONO2)(CH2(OH))CH(O.)CH2(OH)                                                                                         1.NOO             
C50221   #CH3C(ONO2)(CH2(OH))CH(OH)CH2(OOH)                                                                                        HNOO              
C50222   #CH3C(ONO2)(CH2(OH))CH(OH)CH2(O.)                                                                                         1.NOO             
C50223   #C1H2-O-C1(CH3)CH(OH)CHO                                                                                                  IDO              
C50224   #CH3C(OOH)(CH2(OH))CH(OOH)CHO                                                                                             HHDO              
C50225   #CH3C(OOH)(CH2(OH))CH(ONO2)CHO                                                                                            HNDO              
C50226   #CH3C(OOH)(CH2(OH))CH(O.)CHO                                                                                              1.HDO             
C50227   #CH2(OH)CH.(OO.)                                                                                                          4.O               
C50228   #CH3C.(OO.)CH2(ONO2)                                                                                                      4.N               
C50229   #CH2(OH)CH(OOH)C(OH)(CH3)CH2(ONO2)                                                                                        HNOO              
C50230   #CH2(OH)CH(ONO2)C(OH)(CH3)CH2(ONO2)                                                                                       NNOO              
C50231   #CH2(OH)CH(O.)C(OH)(CH3)CH2(ONO2)                                                                                         1.NOO             
C50232   #CO(OOH)CH.(OO.)                                                                                                          4.G               
C50233   #CO(OOH)CH(OH)C(OO.)(CH3)CHO                                                                                              2.GDO             
C50234   #CH3C(OOH)(CH2(OOH))CH(OH)CHO                                                                                             HHDO              
C50235   #CH3C(O.)(CH2(OOH))CH(OH)CHO                                                                                              1.HDO             
C50236   #CH2(OH)CH(ONO2)C(CH3).(OO.)                                                                                              4.NO              
C50237   #CH3C(OOH)(CH2(OH))CH(ONO2)CH2(OH)                                                                                        HNOO              
C50238   #CH3C(O.)(CH2(OH))CH(ONO2)CH2(OH)                                                                                         1.NOO             
C50239   #CH3C(OOH)(CH2(OH))CH(OH)CHO                                                                                              HDOO              
C50240   #CH3C(ONO2)(CH2(OH))CH(OH)CHO                                                                                             NDOO              
C50241   #CH3C(O.)(CH2(OH))CH(OH)CHO                                                                                               1.DOO             
C50242   #CO(OOH)CH(OH)Cd(CH3)=CdH2                                                                                                GUO               
C50243   #CO(OONO2)CH(OH)Cd(CH3)=CdH2                                                                                              UPO               
C50244   #CH2(ONO2)CH(OH)C(OOH)(CH3)CHO                                                                                            HNDO              
C50245   #CH2(ONO2)CH(OH)C(ONO2)(CH3)CHO                                                                                           NNDO              
C50246   #CH3C(ONO2)(CH2(OH))COCH2(ONO2)                                                                                           NNKO              
C50247   #CH3COCH2COCHO                                                                                                            DKK               
C50248   #CH2(OH)CH(OOH)Cd(CH2(OH))=CdH2                                                                                           HUOO              
C50249   #CH2(OH)CH(ONO2)Cd(CH2(OH))=CdH2                                                                                          NUOO              
C50250   #CH2(OH)CH(O.)Cd(CH2(OH))=CdH2                                                                                            1.UOO             
C50251   #CH2(OH)Cd(CHO)=CdH2                                                                                                      UDO               
C50252   #CH3Cd(CHO)=CdHCO(O.)                                                                                                     1.UDK             
C50253   #CO(OOH)CdH=Cd(CH3)CHO                                                                                                    GUD               
C50254   #CO(OONO2)CdH=Cd(CH3)CHO                                                                                                  UDP               
C50255   #CHOCdH=Cd(CH3)CO(O.)                                                                                                     1.UDK             
C50256   #CH3Cd(CO(OH))=CdHCHO                                                                                                     AUD               
C50257   #CH3Cd(CO(OOH))=CdHCHO                                                                                                    GUD               
C50258   #CH3Cd(CO(OONO2))=CdHCHO                                                                                                  UDP               
C50259   #C1H(ONO2)CH2-O-COC1(OO.)CH3                                                                                              2.TNKE             
C50260   #CH3COCO-O-CH2(OO.)                                                                                                       2.KKE             
C50261   #C1H(OH)CH2-O-COC1(OO.)CH3                                                                                                2.TKE             
C50262   #CH3C(ONO2)(CO(OH))CHO                                                                                                    AND               
C50263   #CH3C(ONO2)(CO(OOH))CHO                                                                                                   GND               
C50264   #CH3C(ONO2)(CO(OONO2))CHO                                                                                                 NDP               
C50265   #CH3C(OH)(CO(OOH))CHO                                                                                                     GDO               
C50266   #CH3C(OH)(CO(OONO2))CHO                                                                                                   DPO               
C50267   #CH3C(OH)(CH3)CO(OH)                                                                                                      AO                          
C50268   #CH3C(OH)(CH3)CO(OOH)                                                                                                     GO                          
C50269   #CH3C(OH)(CH3)CO(OONO2)                                                                                                   PO                          
C50270   #CH3C(OH)(CO(OH))CHO                                                                                                      ADO               
C50271   #CH3C(OH)(CO(OOH))CHO                                                                                                     GDO               
C50272   #CH3C(OH)(CO(OONO2))CHO                                                                                                   DPO               
C50273   #CH3COCH(OH)CO(OOH)                                                                                                       GKO               
C50274   #CH3COCH(OH)CO(OONO2)                                                                                                     KPO               
C50275   #CH3COCH(ONO2)CO(OOH)                                                                                                     GNK               
C50276   #CH3COCH(ONO2)CO(OONO2)                                                                                                   NKP               
C50277   #CH3Cd(CH2(OH))=CdHCO(OH)                                                                                                 AUO               
C50278   #CH3Cd(CH2(OH))=CdHCO(OOH)                                                                                                GUO               
C50279   #CH3Cd(CH2(OH))=CdHCO(OONO2)                                                                                              UPO               
C50280   #CH3C(OH)(CH2(OH))CH(OOH)CHO                                                                                              HDOO              
C50281   #CH3C(OH)(CH2(OH))CH(ONO2)CHO                                                                                             NDOO              
C50282   #CH3C(OH)(CH2(OH))CH(O.)CHO                                                                                               1.DOO             
C50283   #CH3C(OH)(CH2(OH))CHO                                                                                                     DOO               
C50284   #C1H2-O-C1HC(OH)(CH3)CO(OO.)                                                                                              3.IKO             
C50285   #CH2(OH)COC(OOH)(CH3)CHO                                                                                                  HDKO              
C50286   #CH2(OH)CdH=Cd(CH3)CO(OH)                                                                                                 AUO               
C50287   #CH2(OH)CdH=Cd(CH3)CO(OOH)                                                                                                GUO               
C50288   #CH2(OH)CdH=Cd(CH3)CO(OONO2)                                                                                              UPO               
C50289   #CH2(OH)CH(OOH)C(OH)(CH3)CHO                                                                                              HDOO              
C50290   #CH2(OH)CH(O.)C(OH)(CH3)CHO                                                                                               1.DOO             
C50291   #CH2(OH)CH(ONO2)C(OH)(CH3)CHO                                                                                             NDOO              
C50292   #CH2(OH)CH(OH)C(OOH)(CH3)CHO                                                                                              HDOO              
C50293   #CH2(OH)CH(OH)C(ONO2)(CH3)CHO                                                                                             NDOO              
C50294   #CH2(OH)CH(OH)C(O.)(CH3)CHO                                                                                               1.DOO             
C50295   #CH3COCH(OH)CH2(OH)                                                                                                       KOO               
C50296   #CHO-O-CdH=CdHCOCH2(OO.)                                                                                                  2.UDKE             
C50297   #CHO-O-CdH=CdHC(CH3).(OO.)                                                                                                4.UDE             
C50298   #CH3C(OO.)(CHO)CHO                                                                                                        2.DD              
C50299   #CH3C(O.)(CHO)CHO                                                                                                         1.DD              
C50300   #CH3COCOCH2(O.)                                                                                                           1.KK              
C50301   #CH3COCOCH2(OO.)                                                                                                          2.KK              
C50302   #CH3C(OOH)(CO(OOH))CH(OH)CHO                                                                                              GHDO              
C50303   #CH3C(O.)(CO(OOH))CH(OH)CHO                                                                                               1.GDO             
C50304   #CH3C(OOH)(CH2(OH))COCH2(OH)                                                                                              HKOO              
C50305   #CH3C(O.)(CH2(OH))COCH2(OH)                                                                                               1.KOO             
C50306   #CH3C(ONO2)(CH2(OH))COCH2(OH)                                                                                             NKOO              
C50307   #CH3C(ONO2)(CH2(OH))CH(OOH)CHO                                                                                            HNDO              
C50308   #CH3C(ONO2)(CH2(OH))CH(ONO2)CHO                                                                                           NNDO              
C50309   #CH2(OH)CH(ONO2)C(ONO2)(CH3)CHO                                                                                           NNDO              
C50310   #C1H2-O-C1(CH3)CH(OH)CO(OO.)                                                                                              3.IKO             
C50311   #CH2(OH)COC(OH)(CH3)CH2(ONO2)                                                                                             NKOO              
C50312   #CH3C(OH)(CH2(ONO2))CH(ONO2)CHO                                                                                           NNDO              
C50313   #CO(OOH)CH(OH)C(OOH)(CH3)CHO                                                                                              GHDO              
C50314   #CO(OOH)CH(OH)C(O.)(CH3)CHO                                                                                               1.GDO             
C50315   #CH3C(OOH)(CH2(OOH))CH(OH)CO(OO.)                                                                                         3.HHKO             
C50316   #CH2(OH)CH(ONO2)C(OOH)(CH3)CHO                                                                                            HNDO              
C50317   #CH3C(ONO2)(CH2(OH))CH(OH)CO(OO.)                                                                                         3.NKOO             
C50318   #CH2(ONO2)CH(OH)C(OOH)(CH3)CO(OO.)                                                                                        3.HNKO             
C50319   #CH2(ONO2)CH(OH)C(ONO2)(CH3)CO(OO.)                                                                                       3.NNKO             
C50320   #CH2(ONO2)COC(ONO2)(CH3)CHO                                                                                               NNDK              
C50321   #CH3C(ONO2)(CH2(OH))COCHO                                                                                                 NDKO              
C50322   #CH2(OH)COCd(CH2(OH))=CdH2                                                                                                UKOO              
C50323   #CH2(OH)C1H-O-C1(CH2(OH))CH2(OH)                                                                                          IOOO             
C50324   #CH2(OH)CH(ONO2)C(OO.)(CH2(OH))CH2(OH)                                                                                    2.NOOO             
C50325   #CH2(OH)Cd(=CdH2)CO(OO.)                                                                                                  3.UKO             
C50326   #CH2OOA                                                                                                                                           
C50327   #CHOCd(CH2(OH))=Cd.(OO.)                                                                                                  4.UDO             
C50328   #CH2(OH)C(OO.)(CH2(OH))CHO                                                                                                2.DOO             
C50329   #C1O-O-COCdH=Cd1CH3                                                                                                       TUKKE             
C50330   #C1H(ONO2)CH2-O-COC1(OOH)CH3                                                                                              THNKE             
C50331   #C1H(ONO2)CH2-O-COC1(O.)CH3                                                                                               1.TNKE             
C50332   #CH3COCO-O-CH2(OOH)                                                                                                       HKKE              
C50333   #CH3COCO-O-CH2(O.)                                                                                                        1.KKE             
C50334   #C1H(OH)CH2-O-COC1(OOH)CH3                                                                                                THKE              
C50335   #C1H(OH)CH2-O-COC1(O.)CH3                                                                                                 1.TKE             
C50336   #CH3C(OH)(CHO)CO(OO.)                                                                                                     3.DKO             
C50337   #CH3C(OH)(CHO)CH(ONO2)CHO                                                                                                 NDDO              
C50338   #C1H2-O-C1HC(OH)(CH3)CO(OOH)                                                                                              IGO              
C50339   #C1H2-O-C1HC(OH)(CH3)CO(OONO2)                                                                                            IPO              
C50340   #CH2(OH)CH(ONO2)C(OH)(CH3)CO(OO.)                                                                                         3.NKOO             
C50341   #CM2ALOHNO3                                                                                                                                       
C50342   #CH2(OH)CH(OH)C(ONO2)(CH3)CO(OO.)                                                                                         3.NKOO             
C50343   #CH2(OOH)COCdH=CdH-O-CHO                                                                                                  HUDKE             
C50344   #CHO-O-CdH=CdHCOCH2(O.)                                                                                                   1.UDKE             
C50345   #CH3COCdH=CdH-O-CHO                                                                                                       UDKE              
C50346   #CH3C(ONO2)(CH2(OH))CH(OOH)CO(OO.)                                                                                        3.HNKO             
C50347   #CH3C(ONO2)(CH2(OH))CH(ONO2)CO(OO.)                                                                                       3.NNKO             
C50348   #CH2(OH)CH(ONO2)C(ONO2)(CH3)CO(OO.)                                                                                       3.NNKO             
C50349   #C1H2-O-C1(CH3)CH(OH)CO(OOH)                                                                                              IGO              
C50350   #C1H2-O-C1(CH3)CH(OH)CO(OONO2)                                                                                            IPO              
C50351   #CH3C(OH)(CH2(ONO2))COCHO                                                                                                 NDKO              
C50352   #CH3C(OH)(CH2(ONO2))CH(ONO2)CO(OO.)                                                                                       3.NNKO             
C50353   #CH3C(OOH)(CH2(OOH))CH(OH)CO(OOH)                                                                                         GHHO              
C50354   #CO(OONO2)CH(OH)C(OOH)(CH3)CH2(OOH)                                                                                       HHPO              
C50355   #CH2(OH)CH(ONO2)C(OOH)(CH3)CO(OO.)                                                                                        3.HNKO             
C50356   #CH3C(ONO2)(CH2(OH))CH(OH)CO(OH)                                                                                          ANOO              
C50357   #CH3C(ONO2)(CH2(OH))CH(OH)CO(OOH)                                                                                         GNOO              
C50358   #CH3C(ONO2)(CH2(OH))CH(OH)CO(OONO2)                                                                                       NPOO              
C50359   #CH2(ONO2)CH(OH)C(OOH)(CH3)CO(OH)                                                                                         AHNO              
C50360   #CH2(ONO2)CH(OH)C(OOH)(CH3)CO(OOH)                                                                                        GHNO              
C50361   #CH2(ONO2)CH(OH)C(OOH)(CH3)CO(OONO2)                                                                                      HNPO              
C50362   #CH2(ONO2)CH(OH)C(ONO2)(CH3)CO(OH)                                                                                        ANNO              
C50363   #CH2(ONO2)CH(OH)C(ONO2)(CH3)CO(OOH)                                                                                       GNNO              
C50364   #CH2(ONO2)CH(OH)C(ONO2)(CH3)CO(OONO2)                                                                                     NNPO              
C50365   #CH2(ONO2)COC(ONO2)(CH3)CO(OO.)                                                                                           3.NNKK             
C50366   #CH2(OH)COC(OO.)(CH2(OH))CH2(OH)                                                                                          2.KOOO             
C50367   #CH2(OH)CH(OH)C(OO.)(CH2(OH))CHO                                                                                          2.DOOO             
C50368   #CH2(OH)C(OH)(CH2(OH))CH(OO.)CHO                                                                                          2.DOOO             
C50369   #CH2(OH)CH(ONO2)C(OOH)(CH2(OH))CH2(OH)                                                                                    HNOOO             
C50370   #CH2(OH)CH(ONO2)C(ONO2)(CH2(OH))CH2(OH)                                                                                   NNOOO             
C50371   #CH2(OH)CH(ONO2)C(O.)(CH2(OH))CH2(OH)                                                                                     1.NOOO             
C50372   #CH2(OH)Cd(CO(OH))=CdH2                                                                                                   AUO               
C50373   #CH2(OH)Cd(CO(OOH))=CdH2                                                                                                  GUO               
C50374   #CH2(OH)Cd(CO(OONO2))=CdH2                                                                                                UPO               
C50375   #CHOCd(CH2(OH))=Cd.(OO.)                                                                                                  4.UDO             
C50376   #CH2(OH)C(OOH)(CH2(OH))CHO                                                                                                HDOO              
C50377   #CH2(OH)C(O.)(CH2(OH))CHO                                                                                                 1.DOO             
C50378   #C1H(OH)CO-O-COC1(OO.)CH3                                                                                                 2.TKKE             
C50379   #CH3COCO-O-CH2CHO                                                                                                         DKKE              
C50380   #CHOCH(ONO2)C(OH)(CH3)CO(OO.)                                                                                             3.NDKO             
C50381   #CH2(OH)CH(ONO2)C(OH)(CH3)CO(OOH)                                                                                         GNOO              
C50382   #CH2(OH)CH(ONO2)C(OH)(CH3)CO(OONO2)                                                                                       NPOO              
C50383   #CH3C(ONO2)(CHO)CH(OH)CO(OO.)                                                                                             3.NDKO             
C50384   #CHOCH(OH)C(ONO2)(CH3)CO(OO.)                                                                                             3.NDKO             
C50385   #CH2(OH)CH(OH)C(ONO2)(CH3)CO(OH)                                                                                          ANOO              
C50386   #CH2(OH)CH(OH)C(ONO2)(CH3)CO(OOH)                                                                                         GNOO              
C50387   #CH2(OH)CH(OH)C(ONO2)(CH3)CO(OONO2)                                                                                       NPOO              
C50388   #CHO-O-CdH=CdHCOCHO                                                                                                       UDDKE             
C50389   #CHO-O-CdH=CdHCO(OO.)                                                                                                     3.UDKE             
C50390   #CH3COCH(OO.)CH(OH)-O-CHO                                                                                                 2.DKOE             
C50391   #CH3C(ONO2)(CH2(OH))CH(OOH)CO(OH)                                                                                         AHNO              
C50392   #CH3C(ONO2)(CH2(OH))CH(OOH)CO(OOH)                                                                                        GHNO              
C50393   #CH3C(ONO2)(CH2(OH))CH(OOH)CO(OONO2)                                                                                      HNPO              
C50394   #CH3C(ONO2)(CH2(OH))CH(ONO2)CO(OH)                                                                                        ANNO              
C50395   #CH3C(ONO2)(CH2(OH))CH(ONO2)CO(OOH)                                                                                       GNNO              
C50396   #CH3C(ONO2)(CH2(OH))CH(ONO2)CO(OONO2)                                                                                     NNPO              
C50397   #CH2(OH)CH(ONO2)C(ONO2)(CH3)CO(OH)                                                                                        ANNO              
C50398   #CH2(OH)CH(ONO2)C(ONO2)(CH3)CO(OOH)                                                                                       GNNO              
C50399   #CH2(OH)CH(ONO2)C(ONO2)(CH3)CO(OONO2)                                                                                     NNPO              
C50400   #CH3C(OH)(CH2(ONO2))CH(ONO2)CO(OH)                                                                                        ANNO              
C50401   #CH3C(OH)(CH2(ONO2))CH(ONO2)CO(OOH)                                                                                       GNNO              
C50402   #CH3C(OH)(CH2(ONO2))CH(ONO2)CO(OONO2)                                                                                     NNPO              
C50403   #CH2(OH)CH(ONO2)C(OOH)(CH3)CO(OOH)                                                                                        GHNO              
C50404   #CH2(OH)CH(ONO2)C(OOH)(CH3)CO(OONO2)                                                                                      HNPO              
C50405   #CO(OH)CH(OH)C(ONO2)(CH3)CHO                                                                                              ANDO              
C50406   #CO(OOH)CH(OH)C(ONO2)(CH3)CHO                                                                                             GNDO              
C50407   #CO(OONO2)CH(OH)C(ONO2)(CH3)CHO                                                                                           NDPO              
C50408   #CH2(ONO2)COC(ONO2)(CH3)CO(OH)                                                                                            ANNK              
C50409   #CH2(ONO2)COC(ONO2)(CH3)CO(OOH)                                                                                           GNNK              
C50410   #CH2(ONO2)COC(ONO2)(CH3)CO(OONO2)                                                                                         NNKP              
